#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 194455:2646 | 05/19/12 09:16:15 | 219  | 219  | 27802981.407   | 27079375.534  |
| 194464:2646 | 05/19/12 11:01:46 | 206  | 206  | 22253060.129   | 21855831.489  |
| 194479:2646 | 05/19/12 12:28:43 | 435  | 435  | 37143132.334   | 36723593.723  |
| 194480:2646 | 05/19/12 16:13:22 | 1394 | 1394 | 82235790.333   | 81634695.320  |
| 194533:2648 | 05/20/12 14:17:30 | 823  | 823  | 77584700.608   | 76619707.640  |
| 194619:2649 | 05/21/12 09:51:23 | 80   | 80   | 10158523.500   | 9917529.894   |
| 194631:2649 | 05/21/12 10:47:32 | 219  | 219  | 24576244.103   | 23745540.199  |
| 194643:2649 | 05/21/12 12:17:52 | 287  | 287  | 27919510.478   | 27444462.291  |
| 194644:2649 | 05/21/12 14:15:38 | 415  | 415  | 33508365.645   | 33221147.027  |
| 194691:2651 | 05/22/12 04:51:14 | 241  | 241  | 29041673.978   | 28161169.588  |
| 194699:2651 | 05/22/12 08:08:20 | 247  | 247  | 22887505.897   | 22557780.276  |
| 194702:2651 | 05/22/12 09:54:16 | 189  | 189  | 15689488.665   | 15526565.686  |
| 194704:2651 | 05/22/12 11:14:23 | 588  | 588  | 41253245.953   | 40879144.359  |
| 194711:2651 | 05/22/12 15:21:37 | 618  | 618  | 34469166.806   | 34175900.901  |
| 194712:2651 | 05/22/12 19:26:58 | 753  | 753  | 34068880.380   | 33841312.195  |
| 194735:2653 | 05/23/12 04:56:28 | 83   | 83   | 10234975.047   | 9927404.826   |
| 194778:2657 | 05/23/12 14:42:54 | 159  | 159  | 19470454.880   | 18835968.125  |
| 194789:2657 | 05/23/12 16:23:23 | 552  | 552  | 52741193.022   | 52084758.124  |
| 194790:2657 | 05/23/12 20:17:12 | 45   | 45   | 3623764.171    | 3538704.760   |
| 194825:2658 | 05/23/12 23:54:34 | 148  | 148  | 19407052.827   | 18743707.101  |
| 194896:2660 | 05/24/12 13:36:06 | 66   | 66   | 9019399.792    | 8554141.455   |
| 194897:2660 | 05/24/12 14:07:29 | 99   | 99   | 12628426.742   | 12300754.660  |
| 194912:2663 | 05/24/12 23:45:18 | 1580 | 1580 | 155211466.394  | 151958683.152 |
